level_index,difficulty,total_pigs,birds,success,pigs_destroyed,shots_used,runtime_total
0,easy,10,5,False,8,5,0.0035657882690429688
1,easy,10,5,False,0,5,0.0017042160034179688
2,easy,10,5,False,9,5,0.0035092830657958984
3,easy,10,5,False,6,5,0.003146648406982422
4,easy,10,5,False,8,5,0.0026578903198242188
5,easy,10,5,False,9,5,0.002134561538696289
6,easy,10,5,False,9,5,0.0023996829986572266
7,easy,10,5,False,8,5,0.0009944438934326172
8,easy,10,5,False,9,5,0.0012664794921875
9,easy,10,5,False,7,5,0.0030202865600585938
10,medium,12,5,True,12,1,0.002628326416015625
11,medium,12,5,False,10,5,0.003442049026489258
12,medium,12,4,False,9,4,0.004863262176513672
13,medium,12,5,False,10,5,0.004221677780151367
14,medium,12,5,False,11,5,0.004008054733276367
15,medium,12,4,False,9,4,0.004534482955932617
16,medium,12,5,False,10,5,0.004102468490600586
17,medium,12,4,False,7,4,0.004981517791748047
18,medium,12,5,False,11,5,0.002640247344970703
19,medium,12,5,False,5,5,0.005692005157470703
20,hard,15,4,False,12,4,0.004431247711181641
21,hard,15,4,False,12,4,0.005410909652709961
22,hard,15,4,False,13,4,0.006352424621582031
23,hard,15,3,False,12,3,0.0015666484832763672
24,hard,15,3,False,14,3,0.004988670349121094
25,hard,15,3,False,9,3,0.004024505615234375
26,hard,15,4,False,13,4,0.001974821090698242
27,hard,15,3,False,0,3,0.003983259201049805
28,hard,15,3,False,11,3,0.001615762710571289
29,hard,15,4,False,10,4,0.0070307254791259766
